Location|Position|Local Time|Conditions|Temperature|Pressure|Humidity
Delhi,India|28.7040592,77.10249019999999,218.0439605712891|1970-1-18 10:13:12|Clear|285.514|1013.75|100
Sydney NSW,Australia|-33.8688197,151.2092955,24.5399284362793|1970-1-18 10:13:12|Clear|285.514|1013.75|100
Tokyo,Japan|35.6894875,139.6917064,37.14537048339844|1970-1-18 10:13:12|Clear|285.514|1013.75|100
New York,NY|40.7127837,-74.0059413,10.43549823760986|1970-1-18 10:13:12|Clear|285.514|1013.75|100
São Paulo,State of São Paulo|-23.5505199,-46.63330939999999,767.4879150390625|1970-1-18 10:13:12|Clear|285.514|1013.75|100
Manila,Metro Manila|14.5995124,120.9842195,8.003841400146484|1970-1-18 10:13:12|Clear|285.514|1013.75|100
Cairo,Cairo Governorate|30.0444196,31.2357116,26.73894309997559|1970-1-18 10:13:12|Clear|285.514|1013.75|100
Johannesburg,South Africa|-26.2041028,28.0473051,1755.077880859375|1970-1-18 10:13:12|Clear|285.514|1013.75|100
Frankfurt,Germany|50.1109221,8.6821267,98.05740356445312|1970-1-18 10:13:12|Clear|285.514|1013.75|100
Jakarta,Indonesia|-6.1744651,106.822745,14.0661735534668|1970-1-18 10:13:12|Clear|285.514|1013.75|100
Melbourne VIC,Australia|-37.8136276,144.9630576,26.86931037902832|1970-1-18 10:13:12|Clear|285.514|1013.75|100
Berlin,Germany|52.52000659999999,13.404954,36.1368293762207|1970-1-18 10:13:12|Clear|285.514|1013.75|100
Budapest,Hungary|47.497912,19.040235,108.3457946777344|1970-1-18 10:13:12|Clear|285.514|1013.75|100
St Petersburg,Russia|59.9342802,30.3350986,17.31131172180176|1970-1-18 10:13:12|Clear|285.514|1013.75|100
Bangkok,Thailand|13.7563309,100.5017651,8.033108711242676|1970-1-18 10:13:12|Clear|285.514|1013.75|100
